Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60
NaN,181552327.825097,72389261.196944,122938445.411343,57431424.6594473,-244605541.561515,117130157.315069,-89454435.3875226,34349863.2394643,26832660.134155,-308893570.865125,13556929.2113655,56161542.5399264,160855956.491064,14950752.7709861,-29841616.0346635,52563415.7238655,228892537.906746,-133477653.287717,-84862653.2387418,35129851.9831694,19975869.6675525,75351895.5832986,-90086155.0617329,-9520379.12082552,-626102.386460625,-31938371.9208491,38908354.0334939,-51131821.8655416,-323414310.772513,-28723970.9082603,348896944.720377,1025594.16969296,-94694036.805059,577175.616075464,188079174.214479,28840604.5706708,-76449348.1531782,71393403.1688245,18482909.8901373,46060295.1947746,119716980.325436,-10557847.855762,298690.543655454,243402799.75224,131142858.334163,-31594657.2535643,-31797233.7017799,-178564135.712077,111880635.935067,29390120.6676598,-19671523.8694479,-147541840.90065,-30918556.3231539,3171399.64528051,107685927.590191,346841510.28169,103673226.43356,20895806.8860897,-74148198.6361263
NaN,809190578.798396,203289944.036007,225618468.509388,-150345178.294896,-307734438.193571,-230116709.043838,-312918549.831591,255775554.263855,-493971902.460418,1427421891.92734,-152050357.633628,1679597077.11004,18902508.1328867,-3189354.66208952,-1972103.95372789,350315157.361895,248556265.706682,-1382934245.7071,221014725.2023,-146619084.003456,-34247249.4011767,619904992.450199,-239321007.302402,-350854258.368549,-67810839.7100041,10513958.2937278,-246026053.868211,172088360.625194,-269505329.180074,-75044936.1221716,273580165.705858,-50242832.6115829,-84929799.8630693,-73644299.5799432,235851386.659595,144568595.923093,-147651105.474323,-140587300.699979,-46731776.0151204,127322444.966624,-185916593.725154,-55162118.2897125,53583982.1189124,-212204981.549097,-814897.637416142,172052078.293429,192155636.010465,152374008.706074,160207599.654019,-179718590.064212,46444961.8781839,-273454982.0375,298571034.879503,-153621976.829655,-617668221.262802,-442934948.827763,-92855847.0199839,-299053756.674188,50344148.3421503
NaN,-496920366.999982,152912145.088905,-447075331.849483,-59496508.11772,-149818362.259776,135195821.121634,43794619.3318876,-189586293.547497,-122147044.736149,-469225524.558857,-190185730.472383,51555262.329694,-190700882.751818,160720826.303355,25583852.4821691,-238712230.598783,96903668.3521747,-192675488.547234,-230877641.836709,127028056.863588,-106758811.252658,-288829078.049437,-31011830.3946422,-39600809.9721588,-76862681.4096386,7804031.30747105,-49038160.9973085,44982761.9979464,3319748.26839191,51799862.0078352,-119107352.268663,101547217.390661,399949326.763911,-66760550.8116668,1929329.60902225,122438466.752041,-84055299.9501936,-86205776.6299543,-102103336.937405,-35990593.8005838,-1129652.70484536,33059892.8089335,136735279.187388,-181320381.089719,99841597.7783657,232254431.540193,68724395.0197589,-197671987.591691,-66084628.7699305,97708245.1222966,52799604.4190976,-133989606.045852,-89574792.5980005,-117657318.117887,438762119.604246,-58488287.7889783,-417731275.430262,-90794800.8319609,183190371.266735
NaN,141644760.630836,168146238.2933,-259589155.710504,9932320.73987916,40872433.2501922,14951290.3124893,-61621788.8587739,-38779592.2497605,-55552979.5677334,-237887651.076731,97416336.0879908,-41271417.4771616,61654360.8944889,-52200117.227404,-11677752.1564652,-4930508.02863733,-57650311.3583062,108446889.028468,-59362182.9314049,-52683036.298345,-36994885.0972495,-42291402.7362677,-48457857.7008075,-52465517.6452299,-24765828.9711485,-8814499.28445455,-25790586.545702,-64227586.2304478,-58720089.2523546,34852180.5001278,133080587.420628,-30642127.4200452,7299304.14697249,12947893.2457964,-7991705.26055334,16650055.6901334,1976500.98655607,12731754.0866382,-51424880.4678166,-228126.067646493,108939145.585046,13986001.6173025,36723903.0803142,126386642.763648,103071886.32862,-60616658.5373859,52122828.7363242,-91802379.2524905,-30325415.8618361,-52273356.2507726,21395581.9067008,69842042.096092,-120851668.2262,-32957043.4242269,221586958.290172,39018500.7213632,-41000263.2293454,-8160311.81559605,-161255417.573602
NaN,-1274792342.69034,-513839733.391989,895644681.309859,-363978890.879075,-384440731.894772,128795476.650561,221995777.121831,-381370539.604897,-293997182.88643,-967469900.016162,-602695418.801963,215371424.755243,27546606.8340068,-277446167.366509,-228106092.321718,94562847.7577114,-419509312.777193,-701278065.450654,239880087.336367,312340842.579102,-97892160.5843567,19942261.7172017,294113409.5514,182447528.398419,47309994.055437,-183869422.098433,195166578.826288,-286788930.410831,349480643.794188,-137688588.481108,324219416.031444,210774757.02626,-135921726.861447,109687053.619358,-65917537.4767539,58369949.2851115,247137453.710018,73905513.8406991,102960851.41575,-99669436.2993415,209421158.777923,-211552106.876587,123367966.805705,189315587.170662,12732465.6152171,915414873.328328,158642443.876938,25802502.0735615,-269341960.320608,392549891.466751,-107348408.176418,384863521.607693,411462274.491005,-222921811.043126,642897238.13269,-337170901.63867,922789638.034696,257570710.062796,-567764771.525436
NaN,-28271052.0854177,2648058.69360151,-54448463.8557318,5264071.25373278,3787784.73748806,-17420688.0291556,19801012.4092932,64894000.7725023,21407310.0373769,-28859011.4732274,-28657552.4596511,-62828728.6744916,33516610.0069355,8640134.71117226,-34993826.5812509,-4614839.39701011,57278189.453915,-55683413.2710723,-8550977.49714017,6538832.90034711,23788760.5210355,-74490210.5748199,26117216.3350084,-11935322.0738157,-2834171.44775892,-14507624.2406443,1558480.08001298,21161049.6335727,6721570.74479131,-5173253.94860161,79493.0060941276,-1130418.49094617,-6537748.29068593,-11893763.8336358,11920580.5146672,-2588898.1612258,-12569799.6438078,5428793.66719529,4659620.32259996,-1522008.97231568,-20511197.5014931,9866986.4097364,5471204.0533939,-14399728.1407948,51340169.6885457,-26574852.4397477,16852978.3391513,8258513.43122447,8915022.19622781,504322.305819194,-7516955.61942072,-8650239.52887131,-19187053.898131,7732153.93171818,11119079.1829339,756207.643244557,35188341.9577583,4468874.07142936,270.409153298051
NaN,489101727.594314,4709714.67970907,76149263.2506215,-100051316.019048,-19731555.5288277,13035535.7718146,-17875407.3302809,177957383.0919,44781649.489304,-312261807.040276,187519592.533808,99993743.5947539,62675135.2494616,201114037.791626,48122580.011049,133933764.861977,289917965.118797,-485940734.297363,159648231.028313,-73460787.4597169,57553962.1047288,-180083365.680575,113043604.157128,-68237463.5925378,25367574.6206172,4024517.45575818,65948407.0084651,70836640.1335029,-8593035.97969359,34116178.2407953,65377299.7710962,18122814.5553504,220034879.967557,-95849863.8525753,-18548431.7911162,11346086.1498799,12217634.732327,-2828704.75845284,40464953.6722466,99731746.7863094,116482346.915404,42573315.4554137,-25426292.50221,-80510404.7561818,59075215.3076477,-27149004.0565624,12519948.1027613,194278828.301407,57380801.0404128,-84761754.5036379,35668830.569792,-101712281.485447,28430620.7016946,-26301154.1251125,151197885.383731,125013146.974564,274049108.354352,-39267496.2462397,-142993327.390669
NaN,158293313.853134,-122990772.76823,-53829793.9727018,15583622.370974,-102491499.366549,-36877754.431354,353828.439025234,155466397.442215,-82304383.1600951,198119176.704898,-44326843.7425015,411142413.684559,30188828.5457968,-81897648.8110531,187607578.534249,-36097846.4816172,42129808.3076791,220123044.345476,50835066.3068256,-48795581.1638057,-50043616.9406231,-393604256.45427,113297717.641789,-24208382.3152701,-3359407.4170666,-171613224.293206,29672430.2464584,43251733.2489739,-130109816.014145,-12373140.7859606,353444285.548244,15612261.1860273,-120170267.842443,7732220.91967022,89187372.4456361,-212649823.102149,42534988.9963584,13894018.0612916,102270807.465456,1676095.9121456,-239344616.988338,-67454210.5138142,2628365.51692624,-123674959.982063,-64328380.6248674,-310181345.532454,-54123701.8399587,-58227043.5986254,-22725882.679945,25683561.6142802,-13679958.2828894,-21930181.8678917,-58780380.4212017,27972512.1493628,-55996948.9341097,-69013855.4935205,379665207.698219,-118745753.064268,-195250968.774644
NaN,70207701.5602898,51166189.212882,-13694201.609038,-16367708.5305974,21416858.0138165,2305006.05305026,35132789.5273965,-74604537.5655862,44980107.9203288,-31538602.0083251,-36999000.9449757,9833756.50133715,-108834721.469792,-72727179.6640031,-36837889.9463528,12702798.6342801,-123619675.493329,-38331110.520491,-77414225.368639,-16648421.3370504,29641867.7643163,217435312.282589,-45134812.2021115,14601318.4295874,34483326.9237692,20077557.2471578,-15495905.3066603,-8684823.2950286,9609339.05015188,12283556.6589274,27965226.5416578,17828734.6989067,-21013702.5016229,19099974.9256513,2262710.54553947,69334220.251613,21420788.3447127,20682087.6961099,-7328478.68297408,2272321.85712194,-29806502.9302101,2816262.28629972,-24504697.019147,38249063.4003526,-33079297.5343983,42099633.2745186,-7277850.75838439,73922619.1647847,486144.468519077,30424563.7280074,-13992945.0293,-7368024.42432164,-39998530.9114185,-5577699.91725155,-70306319.9346157,-5481159.86004989,-264176598.651682,21200776.8372105,16580544.7231549
NaN,78958700.5197745,-100499694.436999,11794331.0797151,-23962847.4537319,92456584.1972528,-3318837.41577508,-92790838.7015548,182439511.294121,23970730.3197139,48527004.5796112,30045413.7768085,76982624.7933288,-46645589.2118829,-73134676.8186039,83882080.9184106,-14299449.9183585,577665218.539493,-391973882.76516,-61313925.8941106,-2265063.67507012,-66979673.362874,-625628175.904773,21049596.1323557,-26804728.3957548,903242.419446701,63207934.6789507,49030277.7440522,-11766139.8964241,22670706.1858024,-75376176.7006702,-11091456.151437,24165936.3742982,3618965.24811932,10286556.018777,5856608.05143528,-18180481.6528385,9898072.38910653,-37609037.5136978,-7164540.44080978,-4616276.63020269,55360700.1932078,11506999.378056,-3959332.48989282,-18613082.067774,245379279.979517,-3964015.5418155,-57271578.0859975,-432380421.828134,-13326405.1049889,11443310.0531474,4573440.65627818,30480363.1691881,84719562.9209733,13396293.2937186,20613886.1255321,-19851113.1129896,-52401627.078477,80789748.8730591,-20152944.1266094
